id,ans,question,a),b),c),d),e),year,sec,num,diff,blanks
24,a,"The editor's comment was not intended as a criticism, but as a _____ by which she sought further clarification.","The editor's comment was not intended as a criticism, but as a query by which she sought further clarification.","The editor's comment was not intended as a criticism, but as a confession by which she sought further clarification.","The editor's comment was not intended as a criticism, but as a dismissal by which she sought further clarification.","The editor's comment was not intended as a criticism, but as a condemnation by which she sought further clarification.","The editor's comment was not intended as a criticism, but as a credo by which she sought further clarification.",2002,1,5,3,1
25,b,"Although Clifton often appeared _____, he actually devoted _____ amount of time trying to keep up a neat appearance.","Although Clifton often appeared orderly, he actually devoted  an enormous amount of time trying to keep up a neat appearance.","Although Clifton often appeared disheveled, he actually devoted an inordinate amount of time trying to keep up a neat appearance.","Although Clifton often appeared annoyed, he actually devoted an unfortunate amount of time trying to keep up a neat appearance.","Although Clifton often appeared distracted, he actually devoted an unrealistic amount of time trying to keep up a neat appearance.","Although Clifton often appeared agitated, he actually devoted a considerable amount of time trying to keep up a neat appearance.",2002,1,6,3,2
26,a,"In 1991 salsa _____ ketchup as the best-selling condiment in the United States, outselling ketchup by $40 million in retail stores.","In 1991 salsa supplanted ketchup as the best-selling condiment in the United States, outselling ketchup by $40 million in retail stores.","In 1991 salsa redoubled ketchup as the best-selling condiment in the United States, outselling ketchup by $40 million in retail stores.","In 1991 salsa augmented ketchup as the best-selling condiment in the United States, outselling ketchup by $40 million in retail stores.","In 1991 salsa brandished ketchup as the best-selling condiment in the United States, outselling ketchup by $40 million in retail stores.","In 1991 salsa evaded ketchup as the best-selling condiment in the United States, outselling ketchup by $40 million in retail stores.",2002,1,7,4,1
27,b,"The Earth's oceans sustain a _____ of marine creatures, an abundance that makes the seas teem with life and activity.","The Earth's oceans sustain a melee of marine creatures, an abundance that makes the seas teem with life and activity.","The Earth's oceans sustain a profusion of marine creatures, an abundance that makes the seas teem with life and activity.","The Earth's oceans sustain a configuration of marine creatures, an abundance that makes the seas teem with life and activity.","The Earth's oceans sustain a symmetry of marine creatures, an abundance that makes the seas teem with life and activity.","The Earth's oceans sustain a dimension of marine creatures, an abundance that makes the seas teem with life and activity.",2002,1,8,4,1
28,a,The gentle flow of the speaker's words became increasingly balanced and rhythmic; such _____ oratory was quite hypnotic.,The gentle flow of the speaker's words became increasingly balanced and rhythmic; such cadent oratory was quite hypnotic.,The gentle flow of the speaker's words became increasingly balanced and rhythmic; such specious oratory was quite hypnotic.,The gentle flow of the speaker's words became increasingly balanced and rhythmic; such convoluted oratory was quite hypnotic.,The gentle flow of the speaker's words became increasingly balanced and rhythmic; such adulatory oratory was quite hypnotic.,The gentle flow of the speaker's words became increasingly balanced and rhythmic; such impassioned oratory was quite hypnotic.,2002,1,9,4,1
29,b,"The _____ of the art world, its ""apparent inviolability,"" was sullied in 1997 when investigators uncovered several dubious art transactions.","The turpitude of the art world, its ""apparent inviolability,"" was sullied in 1997 when investigators uncovered several dubious art transactions.","The sacrosanctity of the art world, its ""apparent inviolability,"" was sullied in 1997 when investigators uncovered several dubious art transactions.","The perspicuity of the art world, its ""apparent inviolability,"" was sullied in 1997 when investigators uncovered several dubious art transactions.","The verisimilitude of the art world, its ""apparent inviolability,"" was sullied in 1997 when investigators uncovered several dubious art transactions.","The duplicity of the art world, its ""apparent inviolability,"" was sullied in 1997 when investigators uncovered several dubious art transactions.",2002,1,10,4,1
30,a,"Despite the wide-ranging curiosity about her personal life, Eleanor Roosevelt enjoyed a degree of _____ that today’s highly scrutinized public figures can only _____.","Despite the wide-ranging curiosity about her personal life, Eleanor Roosevelt enjoyed a degree of privacy that today’s highly scrutinized public figures can only envy.","Despite the wide-ranging curiosity about her personal life, Eleanor Roosevelt enjoyed a degree of popularity that today’s highly scrutinized public figures can only celebrate.","Despite the wide-ranging curiosity about her personal life, Eleanor Roosevelt enjoyed a degree of privilege that today’s highly scrutinized public figures can only imitate.","Despite the wide-ranging curiosity about her personal life, Eleanor Roosevelt enjoyed a degree of isolation that today’s highly scrutinized public figures can only regret.","Despite the wide-ranging curiosity about her personal life, Eleanor Roosevelt enjoyed a degree of generosity that today’s highly scrutinized public figures can only refuse.",2002,4,1,1,2
31,b,"Unable to decide between a career in biology and one in philosophy, Gwen _____ her two interests and became a medical ethicist.","Unable to decide between a career in biology and one in philosophy, Gwen reclaimed her two interests and became a medical ethicist.","Unable to decide between a career in biology and one in philosophy, Gwen merged her two interests and became a medical ethicist.","Unable to decide between a career in biology and one in philosophy, Gwen defined her two interests and became a medical ethicist.","Unable to decide between a career in biology and one in philosophy, Gwen abandoned her two interests and became a medical ethicist.","Unable to decide between a career in biology and one in philosophy, Gwen conveyed her two interests and became a medical ethicist.",2002,4,2,1,1
32,d,"The incompetent judge conducted the hearing in so _____ a manner that the entire proceeding was considered a _____, an insult to the standards of the judicial system.","The incompetent judge conducted the hearing in so apathetic a manner that the entire proceeding was considered a victory, an insult to the standards of the judicial system.","The incompetent judge conducted the hearing in so exacting a manner that the entire proceeding was considered a spectacle, an insult to the standards of the judicial system.","The incompetent judge conducted the hearing in so astute a manner that the entire proceeding was considered a debacle, an insult to the standards of the judicial system.","The incompetent judge conducted the hearing in so negligent a manner that the entire proceeding was considered a travesty, an insult to the standards of the judicial system.","The incompetent judge conducted the hearing in so surreptitious a manner that the entire proceeding was considered a triumph, an insult to the standards of the judicial system.",2002,4,3,2,2
33,b,"Constance was _____ by the speech, regarding such criticisms of her company as extremely annoying.","Constance was fascinated by the speech, regarding such criticisms of her company as extremely annoying.","Constance was galled by the speech, regarding such criticisms of her company as extremely annoying.","Constance was uplifted by the speech, regarding such criticisms of her company as extremely annoying.","Constance was soothed by the speech, regarding such criticisms of her company as extremely annoying.","Constance was disoriented by the speech, regarding such criticisms of her company as extremely annoying.",2002,4,4,3,1
34,d,"Steven tried hard to give up sweets, but he found it particularly difficult to _____ chocolate.","Steven tried hard to give up sweets, but he found it particularly difficult to digest chocolate.","Steven tried hard to give up sweets, but he found it particularly difficult to extol chocolate.","Steven tried hard to give up sweets, but he found it particularly difficult to impugn chocolate.","Steven tried hard to give up sweets, but he found it particularly difficult to forgo chocolate.","Steven tried hard to give up sweets, but he found it particularly difficult to relish chocolate.",2002,4,5,3,1
35,b,"At first merely _____, his actions grew so bewildering and bizarre as to appear entirely _____ to us.","At first merely dignified, his actions grew so bewildering and bizarre as to appear entirely mystifying to us.","At first merely perplexing, his actions grew so bewildering and bizarre as to appear entirely inexplicable to us.","At first merely eccentric, his actions grew so bewildering and bizarre as to appear entirely stolid to us.","At first merely intriguing, his actions grew so bewildering and bizarre as to appear entirely reasonable to us.","At first merely logical, his actions grew so bewildering and bizarre as to appear entirely questionable to us.",2002,4,6,3,2
36,b,"Rather than focusing on the _____ sequence of events, the historian E.M.W. Tillyard _____ a chronological approach and portrays, instead, the dominant belief patterns of an age.","Rather than focusing on the rational sequence of events, the historian E.M.W. Tillyard acknowledges a chronological approach and portrays, instead, the dominant belief patterns of an age.","Rather than focusing on the temporal sequence of events, the historian E.M.W. Tillyard avoids a chronological approach and portrays, instead, the dominant belief patterns of an age.","Rather than focusing on the universal sequence of events, the historian E.M.W. Tillyard embraces a chronological approach and portrays, instead, the dominant belief patterns of an age.","Rather than focusing on the qualitative sequence of events, the historian E.M.W. Tillyard employs a chronological approach and portrays, instead, the dominant belief patterns of an age.","Rather than focusing on the unseen sequence of events, the historian E.M.W. Tillyard forsakes a chronological approach and portrays, instead, the dominant belief patterns of an age.",2002,4,7,4,2
37,e,"The fashion designer’s new line of spring clothing was described in the style section of the newspaper as _____, even _____; the runway collection had dazzled the audience.","The fashion designer’s new line of spring clothing was described in the style section of the newspaper as unassuming, even audacious; the runway collection had dazzled the audience.","The fashion designer’s new line of spring clothing was described in the style section of the newspaper as capricious, even innocuous; the runway collection had dazzled the audience.","The fashion designer’s new line of spring clothing was described in the style section of the newspaper as tawdry, even precocious; the runway collection had dazzled the audience.","The fashion designer’s new line of spring clothing was described in the style section of the newspaper as vivacious, even insipid; the runway collection had dazzled the audience.","The fashion designer’s new line of spring clothing was described in the style section of the newspaper as resplendent, even incandescent; the runway collection had dazzled the audience.",2002,4,8,4,2
38,c,"Robb Armstrong's Jump Start fills a void in the cartoon industry, namely, a _____ of comic strips representing African Americans.","Robb Armstrong's Jump Start fills a void in the cartoon industry, namely, a spate of comic strips representing African Americans.","Robb Armstrong's Jump Start fills a void in the cartoon industry, namely, a revision of comic strips representing African Americans.","Robb Armstrong's Jump Start fills a void in the cartoon industry, namely, a dearth of comic strips representing African Americans.","Robb Armstrong's Jump Start fills a void in the cartoon industry, namely, a dispersal of comic strips representing African Americans.","Robb Armstrong's Jump Start fills a void in the cartoon industry, namely, a consensus of comic strips representing African Americans.",2002,4,9,5,1
39,c,"The doctor does not believe in conservative approaches to teaching medicine: she uses the latest techniques, including _____ ones.","The doctor does not believe in conservative approaches to teaching medicine: she uses the latest techniques, including outmoded ones.","The doctor does not believe in conservative approaches to teaching medicine: she uses the latest techniques, including figurative ones.","The doctor does not believe in conservative approaches to teaching medicine: she uses the latest techniques, including experimental ones.","The doctor does not believe in conservative approaches to teaching medicine: she uses the latest techniques, including cursory ones.","The doctor does not believe in conservative approaches to teaching medicine: she uses the latest techniques, including permanent ones.",2003,1,1,1,1
40,b,"Cookery _____ the _____ of science, for the observations of prehistoric cooks laid the foundations of early chemistry.","Cookery ignored the precision of science, for the observations of prehistoric cooks laid the foundations of early chemistry.","Cookery advanced the development of science, for the observations of prehistoric cooks laid the foundations of early chemistry.","Cookery retarded the supremacy of science, for the observations of prehistoric cooks laid the foundations of early chemistry.","Cookery aided the decline of science, for the observations of prehistoric cooks laid the foundations of early chemistry.","Cookery betrayed the methodology of science, for the observations of prehistoric cooks laid the foundations of early chemistry.",2003,1,2,1,2
41,d,"The United States Congress has the power to _____, that is, to charge an elected federal official for a major crime.","The United States Congress has the power to veto, that is, to charge an elected federal official for a major crime.","The United States Congress has the power to convict, that is, to charge an elected federal official for a major crime.","The United States Congress has the power to demote, that is, to charge an elected federal official for a major crime.","The United States Congress has the power to impeach, that is, to charge an elected federal official for a major crime.","The United States Congress has the power to exonerate, that is, to charge an elected federal official for a major crime.",2003,1,3,2,1
42,d,"""Bedlam,"" a popular name for the first English insane asylum, has come to signify any scene of _____ and confusion.","""Bedlam,"" a popular name for the first English insane asylum, has come to signify any scene of collaboration and confusion.","""Bedlam,"" a popular name for the first English insane asylum, has come to signify any scene of treachery and confusion.","""Bedlam,"" a popular name for the first English insane asylum, has come to signify any scene of secrecy and confusion.","""Bedlam,"" a popular name for the first English insane asylum, has come to signify any scene of turmoil and confusion.","""Bedlam,"" a popular name for the first English insane asylum, has come to signify any scene of placidity and confusion.",2003,1,4,2,1
43,c,"Even though the programmers are _____ about their new software, they are wary of publicly _____ its capabilities until further testing.","Even though the programmers are anxious about their new software, they are wary of publicly commending its capabilities until further testing.","Even though the programmers are apprehensive about their new software, they are wary of publicly substantiating its capabilities until further testing.","Even though the programmers are confident about their new software, they are wary of publicly disclosing its capabilities until further testing.","Even though the programmers are positive about their new software, they are wary of publicly decrying its capabilities until further testing.","Even though the programmers are cynical about their new software, they are wary of publicly celebrating its capabilities until further testing.",2003,1,5,3,2
44,b,"Mary Ellen Pleasant, as a _____ supporter of Black emancipation before the Civil War, spurned politicians who advocated quiet dissent.","Mary Ellen Pleasant, as a cavalier supporter of Black emancipation before the Civil War, spurned politicians who advocated quiet dissent.","Mary Ellen Pleasant, as a vociferous supporter of Black emancipation before the Civil War, spurned politicians who advocated quiet dissent.","Mary Ellen Pleasant, as a sanguine supporter of Black emancipation before the Civil War, spurned politicians who advocated quiet dissent.","Mary Ellen Pleasant, as a premature supporter of Black emancipation before the Civil War, spurned politicians who advocated quiet dissent.","Mary Ellen Pleasant, as a noncommittal supporter of Black emancipation before the Civil War, spurned politicians who advocated quiet dissent.",2003,1,6,3,1
45,b,"Although we as laypeople expect scientific accounts of the world to be _____ our commonsense understanding of reality, the paradoxes of modern physics seem to _____ our personal expectations.","Although we as laypeople expect scientific accounts of the world to be parallel to our commonsense understanding of reality, the paradoxes of modern physics seem to confirm our personal expectations.","Although we as laypeople expect scientific accounts of the world to be consistent with our commonsense understanding of reality, the paradoxes of modern physics seem to undermine our personal expectations.","Although we as laypeople expect scientific accounts of the world to be aligned against our commonsense understanding of reality, the paradoxes of modern physics seem to resist our personal expectations.","Although we as laypeople expect scientific accounts of the world to be congruent with our commonsense understanding of reality, the paradoxes of modern physics seem to buttress our personal expectations.","Although we as laypeople expect scientific accounts of the world to be implied in our commonsense understanding of reality, the paradoxes of modern physics seem to augment our personal expectations.",2003,1,7,3,2
46,b,The play closed after only a week because critics gave the performance _____ reviews.,The play closed after only a week because critics gave the performance innocuous reviews.,The play closed after only a week because critics gave the performance caustic reviews.,The play closed after only a week because critics gave the performance rave reviews.,The play closed after only a week because critics gave the performance gaudy reviews.,The play closed after only a week because critics gave the performance contrite reviews.,2003,1,8,5,1
47,e,"The essay was both _____ and _____ : although concise, it was profoundly moving.","The essay was both meandering and denigrating : although concise, it was profoundly moving.","The essay was both compact and enervating : although concise, it was profoundly moving.","The essay was both fictional and touching : although concise, it was profoundly moving.","The essay was both argumentative and rationalistic : although concise, it was profoundly moving.","The essay was both terse and poignant : although concise, it was profoundly moving.",2003,1,9,5,2
48,a,The consequence of the conspirators' _____ was severe punishment of all those involved in the unsuccessful revolt.,The consequence of the conspirators' machinations was severe punishment of all those involved in the unsuccessful revolt.,The consequence of the conspirators' ruminations was severe punishment of all those involved in the unsuccessful revolt.,The consequence of the conspirators' reservations was severe punishment of all those involved in the unsuccessful revolt.,The consequence of the conspirators' forebodings was severe punishment of all those involved in the unsuccessful revolt.,The consequence of the conspirators' consolations was severe punishment of all those involved in the unsuccessful revolt.,2003,1,10,5,1
